Ticker,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_SPY,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,P,Promoted
VIAV,Technology,BUY_BREAKOUT,BUY_BREAKOUT,35.35,92581.0,1.58169838111505,0.86056612703835,2.0,56,3.06,79.8,5.21,41.7,종목 44.5% vs SPY -0.8%,0.7,20D High 31.42 돌파 + Vol 3.06x (기준 1.5x),35.35 위에서 분할(돌파 유지 시),SMA50(22.34) 이탈 또는 Stop 31.67,"20D high 근접, Vol 3.1x (강함), MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | MARKET CAUTION(참고): SPY<SMA200 (654.68),35.35,31.67,42.71,112.0,3959.0,162110030,0,False
AEHR,Technology,BUY_BREAKOUT,BUY_BREAKOUT,44.03,12030.0,1.3992183251366805,0.7997394417122269,2.0,37,1.67,71.3,9.93,32.8,종목 71.7% vs SPY -0.8%,1.1,20D High 43.13 돌파 + Vol 1.67x (기준 1.5x),44.03 위에서 분할(돌파 유지 시),SMA50(27.48) 이탈 또는 Stop 35.29,"Vol 1.7x, MACD 완만개선, RSI 71",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | MARKET CAUTION(참고): SPY<SMA200 (654.68),44.03,35.29,61.56,47.0,2069.0,54205057,0,False
NOK,Technology,BUY_BREAKOUT,BUY_BREAKOUT,8.26,578636.0,1.6178925397604205,0.8844231553244664,1.96,41,2.91,69.9,3.36,37.1,종목 28.5% vs SPY -0.8%,1.3,20D High 7.80 돌파 + Vol 2.91x (기준 1.5x),8.26 위에서 분할(돌파 유지 시),SMA50(6.84) 이탈 또는 Stop 7.71,"Vol 2.9x (강함), MACD 완만개선, RSI 70",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | MARKET CAUTION(참고): SPY<SMA200 (654.68),8.26,7.71,9.34,748.0,6178.0,314148648,0,False
FANG,Energy,BUY_BREAKOUT,BUY_BREAKOUT,178.96,709497.0,1.548175370113963,0.8786811621082631,1.9,38,2.1,67.3,3.49,28.3,종목 9.2% vs SPY -0.8%,2.4,20D High 177.25 돌파 + Vol 2.10x (기준 1.5x),178.96 위에서 분할(돌파 유지 시),SMA50(158.33) 이탈 또는 Stop 166.46,"Vol 2.1x (강함), RSI 67",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | MARKET CAUTION(참고): SPY<SMA200 (654.68),178.96,166.46,202.76,33.0,5906.0,422582812,0,False
EXAS,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,103.35,287353.0,4.63,0.76,6.4,40,0.8,51.4,0.26,30.4,종목 1.0% vs SPY -0.8%,0.3,트리거: 103.67 상향 돌파(20D High),103.67 돌파+거래량 동반 시,SMA50(102.46) 이탈 또는 Stop 102.81,"20D high 근접, RSI 51",,현재 Vol 0.80x,103.35,102.81,106.78,774.0,79993.0,230014020,3,False
FOLD,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,14.36,65720.0,4.2,0.77,5.75,43,0.64,63.6,0.27,37.5,종목 0.5% vs SPY -0.8%,0.1,트리거: 14.37 상향 돌파(20D High),14.37 돌파+거래량 동반 시,SMA50(14.16) 이탈 또는 Stop 14.28,"20D high 근접, MACD 완만개선, RSI 64",,현재 Vol 0.64x,14.36,14.28,14.81,5281.0,75835.0,81484734,3,False
HOLX,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,75.45,245254.0,3.71,0.76,5.19,40,0.72,64.8,0.29,19.2,종목 0.7% vs SPY -0.8%,0.1,트리거: 75.49 상향 돌파(20D High),75.49 돌파+거래량 동반 시,SMA50(74.97) 이탈 또는 Stop 75.01,"20D high 근접, RSI 65",,현재 Vol 0.72x,75.45,75.01,77.75,934.0,70470.0,190635856,3,False
PGR,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,213.41,1738707.0,2.1,0.76,3.09,43,0.54,66.4,2.36,18.3,종목 2.6% vs SPY -0.8%,27.2,트리거: 214.37 상향 돌파(20D High),214.37 돌파+거래량 동반 시,SMA50(211.15) 이탈 또는 Stop 203.34,"20D high 근접, MACD 완만개선, RSI 66",,현재 Vol 0.54x,213.41,203.34,244.56,41.0,8750.0,681973661,3,False
ORI,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,43.08,154217.0,2.07,0.76,3.06,43,0.45,70.9,1.92,41.8,종목 10.0% vs SPY -0.8%,7.9,트리거: 43.32 상향 돌파(20D High),43.32 돌파+거래량 동반 시,SMA50(42.54) 이탈 또는 Stop 41.42,"20D high 근접, MACD 완만개선, RSI 71",,현재 Vol 0.45x,43.08,41.42,48.16,250.0,10770.0,81074150,3,False
AIG,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,81.12,608296.0,1.29,0.64,2.57,30,0.66,84.6,2.11,49.3,종목 8.3% vs SPY -0.8%,7.9,트리거: 81.39 상향 돌파(20D High),81.39 돌파+거래량 동반 시,SMA50(78.58) 이탈 또는 Stop 77.70,20D high 근접,,현재 Vol 0.66x,81.12,77.7,89.91,121.0,9816.0,325128772,3,False
CEG,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,327.16,1529812.0,0.97,0.61,2.25,8,0.78,79.5,4.41,41.9,종목 16.6% vs SPY -0.8%,20.7,트리거: 330.14 상향 돌파(20D High),330.14 돌파+거래량 동반 시,SMA50(313.47) 이탈 또는 Stop 298.29,MACD 완만개선,,현재 Vol 0.78x,327.16,298.29,392.2,14.0,4580.0,1239874042,3,False
ROKU,Communication Services,WATCH_BREAKOUT,WATCH_BREAKOUT,98.09,196646.0,1.38,0.76,2.11,43,0.51,61.8,5.24,41.7,종목 3.0% vs SPY -0.8%,15.9,트리거: 98.46 상향 돌파(20D High),98.46 돌파+거래량 동반 시,SMA50(100.80) 이탈 또는 Stop 87.81,"20D high 근접, MACD 완만개선, RSI 62",,현재 Vol 0.51x,98.09,87.81,119.82,40.0,3924.0,420831618,3,False
NOC,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,768.02,1481630.0,1.64,0.88,2.02,60,1.4,68.8,2.65,19.0,종목 10.9% vs SPY -0.8%,0.0,트리거: 745.55 상향 돌파(20D High),745.55 돌파+거래량 동반 시,SMA50(656.71) 이탈 또는 Stop 727.36,"20D high 근접, Vol 1.4x (약), MACD 상향크로스, RSI 69",CROSS_UP,현재 Vol 1.40x,768.02,727.36,850.34,10.0,7680.0,663727974,3,False
