Ticker,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_SPY,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,P,Promoted
MRNA,Healthcare,BUY_BREAKOUT,BUY_BREAKOUT,57.8,240226.0,1.321516760381156,0.7869548340275105,1.95,28,2.17,83.8,6.87,35.9,종목 37.0% vs SPY -0.6%,2.9,20D High 54.94 돌파 + Vol 2.17x (기준 1.5x),57.80 위에서 분할(돌파 유지 시),SMA50(42.02) 이탈 또는 Stop 49.85,Vol 2.2x (강함),,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | MARKET CAUTION(참고): SPY<SMA200 (655.62),57.8,49.85,73.28,52.0,3006.0,503062805,0,False
IDXX,Healthcare,BUY_PULLBACK,BUY_PULLBACK,648.7,757260.0,1.4667389820958254,0.7170752854929725,2.44,20,1.0,50.0,3.15,44.3,종목 2.6% vs SPY -0.6%,15.8,SMA20(640.42) 눌림 후 반등(필터 통과),648.70 부근 분할 또는 직전 고가 상향 시,SMA20(640.42) 이탈 또는 Stop 607.84,RSI 50,,RSI 50.0,648.7,607.84,748.2,10.0,6487.0,334491597,1,False
CSGS,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,79.83,33286.0,4.37,0.69,6.81,18,0.52,60.2,0.3,39.7,종목 0.2% vs SPY -0.6%,1.0,트리거: 80.67 상향 돌파(20D High),80.67 돌파+거래량 동반 시,SMA50(79.09) 이탈 또는 Stop 79.35,"MACD 완만개선, RSI 60",,현재 Vol 0.52x,79.83,79.35,83.09,867.0,69213.0,26809496,3,False
FOLD,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,14.33,65720.0,4.89,0.77,6.61,43,1.02,54.2,0.25,36.9,종목 0.4% vs SPY -0.6%,0.3,트리거: 14.37 상향 돌파(20D High),14.37 돌파+거래량 동반 시,SMA50(14.30) 이탈 또는 Stop 14.26,"20D high 근접, MACD 완만개선, RSI 54",,현재 Vol 1.02x,14.33,14.26,14.81,5696.0,81624.0,78186135,3,False
NOW,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,113.86,1556160.0,4.13,0.68,6.56,18,0.76,70.6,4.44,31.2,종목 3.7% vs SPY -0.6%,46.2,트리거: 114.92 상향 돌파(20D High),114.92 돌파+거래량 동반 시,SMA50(125.71) 이탈 또는 Stop 103.74,"MACD 완만개선, RSI 71",,현재 Vol 0.76x,113.86,103.74,180.25,41.0,4668.0,2415184075,3,False
INTA,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,27.24,30633.0,4.06,0.68,6.41,18,1.01,61.4,6.34,55.6,종목 -7.1% vs SPY -0.6%,58.3,트리거: 26.40 상향 돌파(20D High),26.40 돌파+거래량 동반 시,SMA50(34.13) 이탈 또는 Stop 23.79,"MACD 완만개선, RSI 61",,현재 Vol 1.01x,27.24,23.79,49.37,120.0,3269.0,53327439,3,False
APP,Communication Services,WATCH_BREAKOUT,WATCH_BREAKOUT,482.81,2341890.0,2.71,0.75,3.93,43,1.05,53.9,7.3,25.5,종목 4.6% vs SPY -0.6%,35.2,트리거: 482.00 상향 돌파(20D High),482.00 돌파+거래량 동반 시,SMA50(533.78) 이탈 또는 Stop 412.27,"20D high 근접, MACD 완만개선, RSI 54",,현재 Vol 1.05x,482.81,412.27,760.15,5.0,2414.0,3269622872,3,False
EA,Communication Services,WATCH_BREAKOUT,WATCH_BREAKOUT,201.73,742195.0,2.62,0.77,3.7,43,0.65,47.1,0.62,32.7,종목 0.2% vs SPY -0.6%,1.5,트리거: 203.35 상향 돌파(20D High),203.35 돌파+거래량 동반 시,SMA50(202.69) 이탈 또는 Stop 199.21,"20D high 근접, MACD 완만개선, RSI 47",,현재 Vol 0.65x,201.73,199.21,211.04,164.0,33084.0,615737792,3,False
NDAQ,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,89.13,693114.0,2.12,0.76,3.09,43,0.49,71.5,2.85,44.8,종목 1.6% vs SPY -0.6%,12.4,트리거: 89.47 상향 돌파(20D High),89.47 돌파+거래량 동반 시,SMA50(92.47) 이탈 또는 Stop 84.05,"20D high 근접, MACD 완만개선, RSI 72",,현재 Vol 0.49x,89.13,84.05,104.84,81.0,7220.0,508560466,3,False
MGNI,Communication Services,WATCH_BREAKOUT,WATCH_BREAKOUT,13.83,25173.0,1.24,0.64,2.5,18,0.77,68.7,5.93,38.3,종목 20.3% vs SPY -0.6%,48.1,트리거: 13.97 상향 돌파(20D High),13.97 돌파+거래량 동반 시,SMA50(14.23) 이탈 또는 Stop 12.19,"MACD 완만개선, RSI 69",,현재 Vol 0.77x,13.83,12.19,17.93,252.0,3485.0,32284382,3,False
CARG,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,33.53,39730.0,1.25,0.68,2.3,33,0.82,74.4,4.6,49.9,종목 13.7% vs SPY -0.6%,14.9,트리거: 32.68 상향 돌파(20D High),32.68 돌파+거래량 동반 시,SMA50(33.36) 이탈 또는 Stop 30.45,"20D high 근접, MACD 완만개선",,현재 Vol 0.82x,33.53,30.45,40.6,134.0,4493.0,52401970,3,False
VLO,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,225.6,921777.0,1.2809602013487191,0.7552848348836818,2.02,41,1.33,72.3,3.26,46.3,종목 17.3% vs SPY -0.6%,0.2,트리거: 221.95 상향 돌파(20D High),221.95 돌파+거래량 동반 시,SMA50(188.06) 이탈 또는 Stop 210.88,"20D high 근접, Vol 1.3x (약), MACD 완만개선",,현재 Vol 1.33x,225.6,210.88,255.27,28.0,6317.0,578960063,3,False
WEC,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,117.55,538036.0,1.3,0.76,2.02,40,1.09,69.7,1.73,36.5,종목 4.7% vs SPY -0.6%,0.5,트리거: 117.35 상향 돌파(20D High),117.35 돌파+거래량 동반 시,SMA50(110.24) 이탈 또는 Stop 113.48,"20D high 근접, RSI 70",,현재 Vol 1.09x,117.55,113.48,125.77,101.0,11873.0,289686491,3,False
CNP,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,44.02,406406.0,0.94,0.64,2.02,30,0.49,77.0,1.91,48.6,종목 9.5% vs SPY -0.6%,0.0,트리거: 43.64 상향 돌파(20D High),43.64 돌파+거래량 동반 시,SMA50(40.13) 이탈 또는 Stop 42.34,20D high 근접,,현재 Vol 0.49x,44.02,42.34,47.42,246.0,10829.0,288621570,3,False
PSX,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,164.72,933605.0,1.53,0.84,2.01,52,1.05,55.2,3.13,46.0,종목 11.2% vs SPY -0.6%,0.2,트리거: 163.79 상향 돌파(20D High),163.79 돌파+거래량 동반 시,SMA50(145.21) 이탈 또는 Stop 154.40,"20D high 근접, MACD 상향크로스, RSI 55",CROSS_UP,현재 Vol 1.05x,164.72,154.4,185.49,40.0,6589.0,422314565,3,False
BKH,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,75.76,81822.0,1.2,0.73,2.01,42,0.74,74.6,2.09,12.8,종목 2.3% vs SPY -0.6%,0.1,트리거: 75.87 상향 돌파(20D High),75.87 돌파+거래량 동반 시,SMA50(72.09) 이탈 또는 Stop 72.59,"20D high 근접, MACD 상향크로스",CROSS_UP,현재 Vol 0.74x,75.76,72.59,82.13,131.0,9925.0,73929330,3,False
HR,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,18.8,93550.0,0.93,0.64,2.01,30,0.78,75.5,2.42,66.5,종목 13.8% vs SPY -0.6%,0.9,트리거: 18.75 상향 돌파(20D High),18.75 돌파+거래량 동반 시,SMA50(17.35) 이탈 또는 Stop 17.89,20D high 근접,,현재 Vol 0.78x,18.8,17.89,20.63,456.0,8573.0,81586161,3,False
LYB,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,61.92,271471.0,1.55,0.85,2.0,52,1.13,58.3,4.17,19.6,종목 15.8% vs SPY -0.6%,21.0,트리거: 60.33 상향 돌파(20D High),60.33 돌파+거래량 동반 시,SMA50(51.46) 이탈 또는 Stop 56.75,"20D high 근접, MACD 상향크로스, RSI 58",CROSS_UP,현재 Vol 1.13x,61.92,56.75,72.28,80.0,4954.0,375954958,3,False
JBHT,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,234.92,309133.0,1.5,0.83,2.0,52,0.6,54.0,3.59,14.7,종목 6.5% vs SPY -0.6%,0.5,트리거: 234.82 상향 돌파(20D High),234.82 돌파+거래량 동반 시,SMA50(212.91) 이탈 또는 Stop 218.07,"20D high 근접, MACD 상향크로스, RSI 54",CROSS_UP,현재 Vol 0.60x,234.92,218.07,268.67,24.0,5638.0,232891822,3,False
MPC,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,220.77,893367.0,1.54,0.85,2.0,51,1.22,60.0,3.72,30.6,종목 17.7% vs SPY -0.6%,0.6,트리거: 215.57 상향 돌파(20D High),215.57 돌파+거래량 동반 시,SMA50(184.19) 이탈 또는 Stop 204.35,"20D high 근접, Vol 1.2x (약), MACD 완만개선, RSI 60",,현재 Vol 1.22x,220.77,204.35,253.57,25.0,5519.0,475273088,3,False
WM,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,243.95,1384802.0,1.36,0.79,1.99,43,1.01,64.8,2.08,34.3,종목 8.4% vs SPY -0.6%,0.4,트리거: 244.88 상향 돌파(20D High),244.88 돌파+거래량 동반 시,SMA50(226.61) 이탈 또는 Stop 233.82,"20D high 근접, MACD 완만개선, RSI 65",,현재 Vol 1.01x,243.95,233.82,264.13,40.0,9758.0,555467892,3,False
