Name,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_KOSPI or KOSDAQ,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,Ticker,P,Promoted
성호전자,Unknown,BUY_BREAKOUT,BUY_BREAKOUT,28350.0,20107.0,1.5138403100599285,0.8789651433775973,1.86,46,1.84,63.6,12.53,48.9,종목 89.6% vs KOSDAQ 0.4%,10.3,20D High 28250.00 돌파 + Vol 1.84x (기준 1.5x),28350.00 위에서 분할(돌파 유지 시),SMA50(15777.20) 이탈 또는 Stop 21244.29,"Vol 1.8x, MACD 상향크로스, RSI 64",CROSS_UP,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | MARKET CAUTION(참고): SPY<SMA200 (3748.73),28350.0,21244.29,41601.57,85.0,2409750.0,56523324356,043260.KQ,0,False
지아이이노베이션,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,16120.0,10263.0,2.1143779010332793,0.844004851228531,2.69,36,2.02,66.7,6.29,17.3,종목 -2.3% vs KOSDAQ 0.4%,35.3,트리거: 16830.00 상향 돌파(20D High) | 품질: close_not_confirm(need>16846.83) / upper_wick_high(0.64),16830.00 위 '종가확인' + 거래량 유지 시,SMA50(15697.60) 이탈 또는 Stop 14091.43,"Vol 2.0x (강함), MACD 완만개선, RSI 67",,"돌파 품질 미충족: close_not_confirm(need>16846.83) / upper_wick_high(0.64) (Vol 2.02x, 기준 1.5x)",16120.0,14091.43,21578.5,299.0,4819880.0,10659639321,358570.KQ,3,False
금호석유화학,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,138500.0,39860.0,1.86,0.89,2.22,33,2.61,50.7,4.66,19.7,종목 -6.4% vs KOSPI 12.0%,14.7,트리거: 157100.00 상향 돌파(20D High) | 품질: close_not_confirm(need>157257.10),157100.00 위 '종가확인' + 거래량 유지 시,SMA50(136006.00) 이탈 또는 Stop 125585.71,"Vol 2.6x (강함), RSI 51",,"돌파 품질 미충족: close_not_confirm(need>157257.10) (Vol 2.61x, 기준 1.5x)",138500.0,125585.71,167169.0,47.0,6509500.0,17723971710,011780.KS,3,False
한화시스템,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,146700.0,212424.0,1.6610627700511211,0.881146612599709,2.02,60,3.0,73.3,5.89,21.3,종목 64.8% vs KOSPI 12.0%,0.2,트리거: 125000.00 상향 돌파(20D High) | 품질: gap_atr_high(1.88),125000.00 위 '종가확인' + 거래량 유지 시,SMA50(85964.00) 이탈 또는 Stop 129421.43,"20D high 근접, Vol 3.0x (강함), MACD 상향크로스",CROSS_UP,"돌파 품질 미충족: gap_atr_high(1.88) (Vol 3.00x, 기준 1.5x)",146700.0,129421.43,181584.11,35.0,5134500.0,389825835620,272210.KS,3,False
LIG넥스원,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,661000.0,111192.0,1.5327703186156336,0.8386656684157727,2.02,51,5.01,89.3,5.33,36.5,종목 25.4% vs KOSPI 12.0%,0.0,트리거: 540000.00 상향 돌파(20D High) | 품질: gap_atr_high(2.64),540000.00 위 '종가확인' + 거래량 유지 시,SMA50(482800.00) 이탈 또는 Stop 590500.00,"20D high 근접, Vol 5.0x (강함), MACD 완만개선",,"돌파 품질 미충족: gap_atr_high(2.64) (Vol 5.01x, 기준 1.5x)",661000.0,590500.0,803762.5,8.0,5288000.0,121647633300,079550.KS,3,False
더존비즈온,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,118400.0,33186.0,0.98,0.66,1.99,33,0.83,88.5,3.79,35.2,종목 31.6% vs KOSPI 12.0%,0.7,트리거: 119200.00 상향 돌파(20D High),119200.00 돌파+거래량 동반 시,SMA50(93424.00) 이탈 또는 Stop 109414.29,"20D high 근접, MACD 완만개선",,현재 Vol 0.83x,118400.0,109414.29,136316.07,67.0,7932800.0,51929051205,012510.KS,3,False
S-Oil,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,141300.0,128063.0,1.33,0.78,1.99,26,7.91,79.3,5.01,36.0,종목 40.6% vs KOSPI 12.0%,1.1,트리거: 120000.00 상향 돌파(20D High) | 품질: gap_atr_high(3.55),120000.00 위 '종가확인' + 거래량 유지 시,SMA50(95742.00) 이탈 또는 Stop 127142.86,"Vol 7.9x (강함), MACD 완만개선",,"돌파 품질 미충족: gap_atr_high(3.55) (Vol 7.91x, 기준 1.5x)",141300.0,127142.86,169443.21,42.0,5934600.0,66200648570,010950.KS,3,False
SK가스,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,262500.0,23599.0,1.5624276068209255,0.8656850023043667,1.96,36,4.38,71.7,3.62,18.9,종목 15.4% vs KOSPI 12.0%,12.5,트리거: 250000.00 상향 돌파(20D High) | 품질: gap_atr_high(2.37),250000.00 위 '종가확인' + 거래량 유지 시,SMA50(230410.00) 이탈 또는 Stop 243500.00,"Vol 4.4x (강함), MACD 완만개선, RSI 72",,"돌파 품질 미충족: gap_atr_high(2.37) (Vol 4.38x, 기준 1.5x)",262500.0,243500.0,299750.0,31.0,8137500.0,5181671475,018670.KS,3,False
HMM,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,24500.0,201381.0,1.4,0.81,1.95,23,4.9,72.1,4.35,44.1,종목 22.5% vs KOSPI 12.0%,6.7,트리거: 23900.00 상향 돌파(20D High) | 품질: gap_atr_high(3.10),23900.00 위 '종가확인' + 거래량 유지 시,SMA50(20799.60) 이탈 또는 Stop 22370.00,Vol 4.9x (강함),,"돌파 품질 미충족: gap_atr_high(3.10) (Vol 4.90x, 기준 1.5x)",24500.0,22370.0,28655.75,285.0,6982500.0,71780440296,011200.KS,3,False
앱클론,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,64400.0,11799.0,1.37,0.83,1.85,32,1.82,53.0,8.68,18.5,종목 -2.1% vs KOSDAQ 0.4%,8.0,트리거: 69300.00 상향 돌파(20D High) | 품질: close_not_confirm(need>69369.30),69300.00 위 '종가확인' + 거래량 유지 시,SMA50(54754.00) 이탈 또는 Stop 53214.29,"Vol 1.8x, MACD 완만개선, RSI 53",,"돌파 품질 미충족: close_not_confirm(need>69369.30) (Vol 1.82x, 기준 1.5x)",64400.0,53214.29,85091.07,54.0,3477600.0,19137167125,174900.KQ,3,False
