Name,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_KOSPI or KOSDAQ,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,Ticker,P,Promoted
RFHIC,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,63800.0,16175.0,1.18,0.77,1.84,23,2.36,74.4,7.57,39.9,종목 43.2% vs KOSDAQ 0.4%,7.4,트리거: 65200.00 상향 돌파(20D High) | 품질: close_not_confirm(need>65265.20),65200.00 위 '종가확인' + 거래량 유지 시,SMA50(42393.00) 이탈 또는 Stop 54135.71,Vol 2.4x (강함),,"돌파 품질 미충족: close_not_confirm(need>65265.20) (Vol 2.36x, 기준 1.5x)",63800.0,54135.71,81585.18,62.0,3955600.0,29270112867,218410.KQ,3,False
코오롱인더,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,67400.0,20469.0,1.23,0.79,1.83,32,1.57,71.8,5.57,57.7,종목 36.7% vs KOSPI 12.0%,5.7,트리거: 68800.00 상향 돌파(20D High) | 품질: close_not_confirm(need>68868.80) / upper_wick_high(0.68),68800.00 위 '종가확인' + 거래량 유지 시,SMA50(51472.00) 이탈 또는 Stop 59885.71,"Vol 1.6x, MACD 완만개선, RSI 72",,"돌파 품질 미충족: close_not_confirm(need>68868.80) / upper_wick_high(0.68) (Vol 1.57x, 기준 1.5x)",67400.0,59885.71,81181.43,80.0,5392000.0,26373352495,120110.KS,3,False
에스티팜,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,155600.0,31522.0,1.32,0.83,1.81,32,1.65,55.0,5.67,19.1,종목 3.4% vs KOSDAQ 0.4%,6.6,트리거: 166300.00 상향 돌파(20D High) | 품질: close_not_confirm(need>166466.30),166300.00 위 '종가확인' + 거래량 유지 시,SMA50(137324.00) 이탈 또는 Stop 137942.86,"Vol 1.7x, MACD 완만개선, RSI 55",,"돌파 품질 미충족: close_not_confirm(need>166466.30) (Vol 1.65x, 기준 1.5x)",155600.0,137942.86,187505.71,34.0,5290400.0,33828202215,237690.KQ,3,False
테크윙,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,51300.0,16655.0,1.3901546069008988,0.8536266453217495,1.8,36,5.55,62.4,7.0,26.9,종목 16.2% vs KOSDAQ 0.4%,25.7,트리거: 51300.00 상향 돌파(20D High) | 품질: close_not_confirm(need>51351.30),51300.00 위 '종가확인' + 거래량 유지 시,SMA50(45550.00) 이탈 또는 Stop 44114.29,"Vol 5.6x (강함), MACD 완만개선, RSI 62",,"돌파 품질 미충족: close_not_confirm(need>51351.30) (Vol 5.55x, 기준 1.5x)",51300.0,44114.29,64241.07,84.0,4309200.0,79417922852,089030.KQ,3,False
LG,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,102500.0,166077.0,1.29,0.82,1.8,32,1.59,65.3,3.94,30.9,종목 12.1% vs KOSPI 12.0%,4.9,트리거: 107700.00 상향 돌파(20D High) | 품질: close_not_confirm(need>107807.70),107700.00 위 '종가확인' + 거래량 유지 시,SMA50(89102.00) 이탈 또는 Stop 94414.29,"Vol 1.6x, MACD 완만개선, RSI 65",,"돌파 품질 미충족: close_not_confirm(need>107807.70) (Vol 1.59x, 기준 1.5x)",102500.0,94414.29,117018.57,75.0,7687500.0,45063343060,003550.KS,3,False
인벤티지랩,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,91000.0,11577.0,1.298202745356547,0.8296760813561542,1.77,36,2.18,67.5,7.89,24.5,종목 11.1% vs KOSDAQ 0.4%,10.2,트리거: 98900.00 상향 돌파(20D High) | 품질: close_not_confirm(need>98998.90) / upper_wick_high(0.80),98900.00 위 '종가확인' + 거래량 유지 시,SMA50(79710.00) 이탈 또는 Stop 76642.86,"Vol 2.2x (강함), MACD 완만개선, RSI 67",,"돌파 품질 미충족: close_not_confirm(need>98998.90) / upper_wick_high(0.80) (Vol 2.18x, 기준 1.5x)",91000.0,76642.86,116468.21,42.0,3822000.0,17727449045,389470.KQ,3,False
SK이노베이션,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,130900.0,213401.0,1.37,0.87,1.73,33,4.47,69.8,4.65,41.9,종목 21.0% vs KOSPI 12.0%,7.4,트리거: 139500.00 상향 돌파(20D High) | 품질: close_not_confirm(need>139639.50) / gap_atr_high(2.08),139500.00 위 '종가확인' + 거래량 유지 시,SMA50(111072.00) 이탈 또는 Stop 118714.29,"Vol 4.5x (강함), RSI 70",,"돌파 품질 미충족: close_not_confirm(need>139639.50) / gap_atr_high(2.08) (Vol 4.47x, 기준 1.5x)",130900.0,118714.29,151936.07,49.0,6414100.0,99979188325,096770.KS,3,False
한솔케미칼,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,314500.0,36733.0,1.25,0.83,1.7,29,1.76,63.0,5.55,30.1,종목 15.2% vs KOSPI 12.0%,9.2,트리거: 342000.00 상향 돌파(20D High) | 품질: close_not_confirm(need>342342.00),342000.00 위 '종가확인' + 거래량 유지 시,SMA50(264190.00) 이탈 또는 Stop 279571.43,"Vol 1.8x, RSI 63",,"돌파 품질 미충족: close_not_confirm(need>342342.00) (Vol 1.76x, 기준 1.5x)",314500.0,279571.43,374030.36,17.0,5346500.0,20149090150,014680.KS,3,False
현대위아,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,97600.0,26944.0,1.13,0.8,1.68,26,3.65,72.6,5.59,24.3,종목 14.0% vs KOSPI 12.0%,13.3,트리거: 107000.00 상향 돌파(20D High) | 품질: close_not_confirm(need>107107.00) / gap_atr_high(1.78),107000.00 위 '종가확인' + 거래량 유지 시,SMA50(83394.00) 이탈 또는 Stop 86685.71,"Vol 3.6x (강함), MACD 완만개선",,"돌파 품질 미충족: close_not_confirm(need>107107.00) / gap_atr_high(1.78) (Vol 3.65x, 기준 1.5x)",97600.0,86685.71,115978.0,55.0,5368000.0,32925811835,011210.KS,3,False
하림,Consumer Defensive,WATCH_PULLBACK,WATCH_PULLBACK,3125.0,3334.0,1.88,0.72,3.01,15,0.67,48.8,2.53,56.8,종목 2.6% vs KOSDAQ 0.4%,20.0,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(3074.90) 이탈 또는 Stop 2967.14,RSI 49,,RSI 48.8,3125.0,2967.14,3599.85,3848.0,12025000.0,5702386611,136480.KQ,4,False
현대해상,Financial Services,WATCH_PULLBACK,WATCH_PULLBACK,32400.0,26935.0,1.45,0.66,2.73,15,0.83,56.6,7.46,63.1,종목 17.2% vs KOSPI 12.0%,26.8,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(30397.00) 이탈 또는 Stop 27564.29,RSI 57,,RSI 56.6,32400.0,27564.29,45577.5,125.0,4050000.0,36423583530,001450.KS,4,False
아모레퍼시픽홀딩스,Consumer Defensive,WATCH_PULLBACK,WATCH_PULLBACK,28500.0,28135.0,1.5,0.68,2.67,15,1.15,40.5,5.6,62.4,종목 -0.5% vs KOSPI 12.0%,20.7,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(29074.00) 이탈 또는 Stop 25307.14,RSI 41,,RSI 40.5,28500.0,25307.14,37028.5,190.0,5415000.0,8477388310,002790.KS,4,False
롯데칠성,Consumer Defensive,WATCH_PULLBACK,WATCH_PULLBACK,132800.0,13985.0,1.58,0.72,2.6,15,0.74,46.7,3.86,58.5,종목 2.0% vs KOSPI 12.0%,14.2,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(134398.00) 이탈 또는 Stop 122557.14,RSI 47,,RSI 46.7,132800.0,122557.14,159444.0,59.0,7835200.0,5210567600,005300.KS,4,False
제일기획,Communication Services,WATCH_PULLBACK,WATCH_PULLBACK,21350.0,22231.0,1.5,0.71,2.52,15,0.75,56.6,2.46,20.2,종목 2.2% vs KOSPI 12.0%,8.4,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(21555.00) 이탈 또는 Stop 20300.00,RSI 57,,RSI 56.6,21350.0,20300.0,23999.0,578.0,12340300.0,10150823982,030000.KS,4,False
기업은행,Financial Services,WATCH_PULLBACK,WATCH_PULLBACK,25100.0,205337.0,1.4,0.72,2.35,15,0.92,61.1,4.53,52.5,종목 15.4% vs KOSPI 12.0%,15.1,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(22417.00) 이탈 또는 Stop 22825.00,RSI 61,,RSI 61.1,25100.0,22825.0,30436.5,267.0,6701700.0,39888749625,024110.KS,4,False
DN오토모티브,Consumer Cyclical,WATCH_PULLBACK,WATCH_PULLBACK,26500.0,14079.0,1.1,0.66,2.2,15,0.78,49.0,7.13,38.5,종목 3.9% vs KOSPI 12.0%,21.6,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(26323.00) 이탈 또는 Stop 22721.43,RSI 49,,RSI 49.0,26500.0,22721.43,34814.0,160.0,4240000.0,7045235602,007340.KS,4,False
엔씨소프트,Communication Services,WATCH_PULLBACK,WATCH_PULLBACK,219500.0,44799.0,1.1,0.68,2.08,15,0.8,55.4,5.11,24.5,종목 -5.6% vs KOSPI 12.0%,15.1,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(219602.00) 이탈 또는 Stop 197071.43,RSI 55,,RSI 55.4,219500.0,197071.43,266255.0,27.0,5926500.0,39417449075,036570.KS,4,False
하이브,Communication Services,WATCH_PULLBACK,WATCH_PULLBACK,359500.0,160956.0,1.23,0.73,2.07,15,1.05,47.8,3.9,14.6,종목 -5.3% vs KOSPI 12.0%,11.3,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(354470.00) 이탈 또는 Stop 331428.57,RSI 48,,RSI 47.8,359500.0,331428.57,417665.0,21.0,7549500.0,133560076750,352820.KS,4,False
BNK금융지주,Financial Services,WATCH_PULLBACK,WATCH_PULLBACK,19680.0,62177.0,1.05,0.68,2.01,15,0.68,62.0,5.14,80.8,종목 20.1% vs KOSPI 12.0%,14.6,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(17294.20) 이탈 또는 Stop 17655.71,RSI 62,,RSI 62.0,19680.0,17655.71,23741.5,300.0,5904000.0,27753085993,138930.KS,4,False
GS리테일,Consumer Cyclical,WATCH_PULLBACK,WATCH_PULLBACK,21050.0,18384.0,1.07,0.72,1.89,15,0.87,50.7,4.73,17.9,종목 1.0% vs KOSPI 12.0%,12.7,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(21429.20) 이탈 또는 Stop 19057.14,RSI 51,,RSI 50.7,21050.0,19057.14,24823.0,304.0,6399200.0,6742470030,007070.KS,4,False
