Ticker,SignalDate,EntryDate,EntryPrice,StopPrice,Status,DaysHeld,LastBarDate,ExitDate,ExitPrice,ReturnPct,ExitReason
178320.KQ,2026-03-02,2026-03-02,47550.0,,OPEN,4,2026-03-05,,,,
226950.KQ,2026-03-02,2026-03-02,180000.0,,OPEN,4,2026-03-05,,,,
389470.KQ,2026-03-02,2026-03-02,93600.0,,OPEN,4,2026-03-05,,,,
043260.KQ,2026-03-03,2026-03-03,28350.0,,OPEN,3,2026-03-05,,,,
064760.KQ,2026-03-05,2026-03-05,245000.0,,OPEN,1,2026-03-05,,,,
095340.KQ,2026-03-05,2026-03-05,202000.0,,OPEN,1,2026-03-05,,,,
