Ticker,Sector,Entry,EntryRaw,Score,Close,MktCap_KRW_T,Avg$Vol,VolRatio,RSI,ATR%,ADX,RS_vs_SPY,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,RR,EV,Prob,Shares,PosValue,P,Promoted
HAL,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,43,35.37,43.7,444939195,0.7,61.1,3.25,19.5,,0.7,트리거: 35.55 상향 돌파(20D High),35.55 돌파+거래량 동반 시,SMA50(31.55) 이탈 또는 Stop 33.07,"20D high 근접, MACD 완만개선, RSI 61",,현재 Vol 0.70x,,,,,-0.21,0.79,,,3,False
AIG,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,43,79.54,60.8,306369955,0.87,69.7,2.48,48.5,,9.7,트리거: 80.06 상향 돌파(20D High),80.06 돌파+거래량 동반 시,SMA50(78.78) 이탈 또는 Stop 75.60,"20D high 근접, MACD 완만개선, RSI 70",,현재 Vol 0.87x,,,,,-0.24,0.76,,,3,False
CBOE,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,43,286.17,42.0,255542830,0.59,69.8,2.78,18.9,,0.5,트리거: 286.70 상향 돌파(20D High),286.70 돌파+거래량 동반 시,SMA50(263.28) 이탈 또는 Stop 270.29,"20D high 근접, MACD 완만개선, RSI 70",,현재 Vol 0.59x,,,,,-0.24,0.76,,,3,False
HOLX,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,43,75.14,24.5,204982234,1.05,55.2,0.36,22.2,,0.3,트리거: 75.36 상향 돌파(20D High),75.36 돌파+거래량 동반 시,SMA50(74.91) 이탈 또는 Stop 74.60,"20D high 근접, MACD 완만개선, RSI 55",,현재 Vol 1.05x,,,,,-0.22,0.78,,,3,False
IAG,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,43,22.37,18.8,202605074,0.87,54.6,7.14,9.1,,0.6,트리거: 22.50 상향 돌파(20D High),22.50 돌파+거래량 동반 시,SMA50(18.31) 이탈 또는 Stop 19.17,"20D high 근접, MACD 완만개선, RSI 55",,현재 Vol 0.87x,,,,,-0.26,0.74,,,3,False
MKTX,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,43,180.7,9.8,102709774,1.01,65.1,3.29,30.8,,22.4,트리거: 182.45 상향 돌파(20D High),182.45 돌파+거래량 동반 시,SMA50(174.67) 이탈 또는 Stop 168.82,"20D high 근접, MACD 완만개선, RSI 65",,현재 Vol 1.01x,,,,,-0.24,0.76,,,3,False
ARQT,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,43,27.95,4.9,30467887,1.05,67.5,3.91,17.5,,12.0,트리거: 27.62 상향 돌파(20D High),27.62 돌파+거래량 동반 시,SMA50(27.64) 이탈 또는 Stop 25.76,"20D high 근접, MACD 완만개선, RSI 68",,현재 Vol 1.05x,,,,,-0.23,0.77,,,3,False
BCRX,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,43,7.48,2.5,27821290,0.64,68.2,3.86,17.8,,33.9,트리거: 7.36 상향 돌파(20D High),7.36 돌파+거래량 동반 시,SMA50(7.13) 이탈 또는 Stop 6.90,"20D high 근접, MACD 완만개선, RSI 68",,현재 Vol 0.64x,,,,,-0.24,0.76,,,3,False
NOK,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,41,7.6,57.9,282281574,1.23,79.1,3.08,17.7,,7.2,트리거: 7.50 상향 돌파(20D High),7.50 돌파+거래량 동반 시,SMA50(6.64) 이탈 또는 Stop 7.13,"20D high 근접, Vol 1.2x (약), MACD 완만개선",,현재 Vol 1.23x,,,,,-0.26,0.74,,,3,False
BKR,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,40,62.56,85.2,608899910,0.7,69.8,2.84,50.7,,0.3,트리거: 62.27 상향 돌파(20D High),62.27 돌파+거래량 동반 시,SMA50(51.98) 이탈 또는 Stop 59.00,"20D high 근접, RSI 70",,현재 Vol 0.70x,,,,,-0.25,0.75,,,3,False
SHO,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,40,9.38,2.6,23096139,0.76,63.3,2.48,18.9,,18.4,트리거: 9.46 상향 돌파(20D High),9.46 돌파+거래량 동반 시,SMA50(9.13) 이탈 또는 Stop 8.91,"20D high 근접, RSI 63",,현재 Vol 0.76x,,,,,-0.22,0.78,,,3,False
CF,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,36,99.46,22.8,210269009,2.73,59.7,3.47,31.7,,5.5,트리거: 97.91 상향 돌파(20D High) | 품질: upper_wick_high(0.70),97.91 위 '종가확인' + 거래량 유지 시,SMA50(85.58) 이탈 또는 Stop 92.55,"Vol 2.7x (강함), MACD 완만개선, RSI 60",,"돌파 품질 미충족: upper_wick_high(0.70) (Vol 2.73x, 기준 1.5x)",,,,,-0.11,0.89,,,3,False
ARCO,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,35,8.88,2.6,15353646,1.42,64.3,3.69,51.6,,1.0,트리거: 8.97 상향 돌파(20D High),8.97 돌파+거래량 동반 시,SMA50(7.79) 이탈 또는 Stop 8.22,"Vol 1.4x (약), MACD 상향크로스, RSI 64",CROSS_UP,현재 Vol 1.42x,,,,,-0.16,0.84,,,3,False
DLTR,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,33,133.57,36.4,404692081,0.8,77.1,3.11,37.8,,6.2,트리거: 133.56 상향 돌파(20D High),133.56 돌파+거래량 동반 시,SMA50(127.11) 이탈 또는 Stop 125.26,"20D high 근접, MACD 완만개선",,현재 Vol 0.80x,,,,,-0.34,0.66,,,3,False
NSA,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,33,34.63,7.2,48876187,0.54,79.9,2.44,26.8,,14.7,트리거: 34.39 상향 돌파(20D High),34.39 돌파+거래량 동반 시,SMA50(30.98) 이탈 또는 Stop 32.94,"20D high 근접, MACD 완만개선",,현재 Vol 0.54x,,,,,-0.35,0.65,,,3,False
LITE,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,30,635.64,57.7,2621591753,0.77,87.4,8.77,63.2,,0.2,트리거: 616.52 상향 돌파(20D High),616.52 돌파+거래량 동반 시,SMA50(407.97) 이탈 또는 Stop 524.09,20D high 근접,,현재 Vol 0.77x,,,,,-0.42,0.58,,,3,False
MO,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,30,67.99,165.3,685835782,0.73,85.3,2.26,24.5,,0.9,트리거: 67.77 상향 돌파(20D High),67.77 돌파+거래량 동반 시,SMA50(60.86) 이탈 또는 Stop 64.92,20D high 근접,,현재 Vol 0.73x,,,,,-0.36,0.64,,,3,False
CHD,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,30,103.25,35.3,260727634,0.78,78.7,2.64,72.6,,11.3,트리거: 102.92 상향 돌파(20D High),102.92 돌파+거래량 동반 시,SMA50(90.51) 이탈 또는 Stop 97.80,20D high 근접,,현재 Vol 0.78x,,,,,-0.35,0.65,,,3,False
HST,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,29,20.07,20.3,179964474,1.59,70.1,2.61,38.7,,4.4,트리거: 20.37 상향 돌파(20D High) | 품질: close_not_confirm(need>20.39),20.37 위 '종가확인' + 거래량 유지 시,SMA50(18.65) 이탈 또는 Stop 19.02,"Vol 1.6x, RSI 70",,"돌파 품질 미충족: close_not_confirm(need>20.39) (Vol 1.59x, 기준 1.5x)",,,,,-0.19,0.81,,,3,False
CNP,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,16,42.64,40.6,249112238,1.38,76.7,1.82,33.6,,1.0,트리거: 43.09 상향 돌파(20D High),43.09 돌파+거래량 동반 시,SMA50(39.17) 이탈 또는 Stop 41.09,"Vol 1.4x (약), MACD 완만개선",,현재 Vol 1.38x,,,,,-0.32,0.68,,,3,False
