Ticker,Sector,Entry,EntryRaw,Score,Close,MktCap_KRW_T,Avg$Vol,VolRatio,RSI,ATR%,ADX,RS_vs_SPY,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,RR,EV,Prob,Shares,PosValue,P,Promoted
SO,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,61,95.05,146.2,664184151,2.2,65.3,2.2,28.8,,5.7,트리거: 95.12 상향 돌파(20D High) | 품질: close_not_confirm(need>95.22) / gap_atr_high(2.13),95.12 위 '종가확인' + 거래량 유지 시,SMA50(88.20) 이탈 또는 Stop 90.87,"20D high 근접, Vol 2.2x (강함), MACD 완만개선, RSI 65",,"돌파 품질 미충족: close_not_confirm(need>95.22) / gap_atr_high(2.13) (Vol 2.20x, 기준 1.5x)",,,,,-0.09,0.91,,,3,False
HII,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,60,443.14,24.1,246943377,1.3,54.3,4.45,29.7,,0.0,트리거: 436.14 상향 돌파(20D High),436.14 돌파+거래량 동반 시,SMA50(381.80) 이탈 또는 Stop 403.66,"20D high 근접, Vol 1.3x (약), MACD 상향크로스, RSI 54",CROSS_UP,현재 Vol 1.30x,,,,,-0.12,0.88,,,3,False
RTX,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,52,205.41,393.1,1317424481,0.92,59.3,2.49,17.4,,0.6,트리거: 206.48 상향 돌파(20D High),206.48 돌파+거래량 동반 시,SMA50(191.30) 이탈 또는 Stop 195.16,"20D high 근접, MACD 상향크로스, RSI 59",CROSS_UP,현재 Vol 0.92x,,,,,-0.17,0.83,,,3,False
EIX,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,47,72.66,40.3,221085111,1.54,80.0,2.71,47.1,,0.8,트리거: 72.68 상향 돌파(20D High) | 품질: close_not_confirm(need>72.75),72.68 위 '종가확인' + 거래량 유지 시,SMA50(61.77) 이탈 또는 Stop 68.73,"20D high 근접, Vol 1.5x, MACD 완만개선",,"돌파 품질 미충족: close_not_confirm(need>72.75) (Vol 1.54x, 기준 1.5x)",,,,,-0.2,0.8,,,3,False
TPH,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,47,46.31,5.9,118056272,1.55,91.9,3.62,43.4,,0.3,트리거: 46.47 상향 돌파(20D High),46.47 돌파+거래량 동반 시,SMA50(34.71) 이탈 또는 Stop 42.95,"20D high 근접, Vol 1.6x, MACD 완만개선",,현재 Vol 1.55x,,,,,-0.19,0.81,,,3,False
OXY,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,45,51.53,66.8,573317347,2.86,67.9,3.48,33.4,,2.0,트리거: 47.69 상향 돌파(20D High) | 품질: gap_atr_high(1.48),47.69 위 '종가확인' + 거래량 유지 시,SMA50(43.17) 이탈 또는 Stop 47.95,"Vol 2.9x (강함), MACD 상향크로스, RSI 68",CROSS_UP,"돌파 품질 미충족: gap_atr_high(1.48) (Vol 2.86x, 기준 1.5x)",,,,,-0.1,0.9,,,3,False
LIN,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,43,490.11,316.1,1281786339,1.11,70.6,2.11,37.0,,0.1,트리거: 488.54 상향 돌파(20D High),488.54 돌파+거래량 동반 시,SMA50(440.79) 이탈 또는 Stop 469.40,"20D high 근접, MACD 완만개선, RSI 71",,현재 Vol 1.11x,,,,,-0.22,0.78,,,3,False
LMT,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,43,666.51,221.1,1056868262,0.8,66.2,2.9,50.5,,0.5,트리거: 660.55 상향 돌파(20D High),660.55 돌파+거래량 동반 시,SMA50(553.85) 이탈 또는 Stop 627.88,"20D high 근접, MACD 완만개선, RSI 66",,현재 Vol 0.80x,,,,,-0.24,0.76,,,3,False
TJX,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,43,156.51,251.7,877936557,0.68,71.1,1.85,27.0,,1.9,트리거: 157.32 상향 돌파(20D High),157.32 돌파+거래량 동반 시,SMA50(154.58) 이탈 또는 Stop 150.71,"20D high 근접, MACD 완만개선, RSI 71",,현재 Vol 0.68x,,,,,-0.24,0.76,,,3,False
CFLT,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,43,30.72,15.9,562708331,0.31,58.6,0.44,25.3,,11.7,트리거: 30.70 상향 돌파(20D High),30.70 돌파+거래량 동반 시,SMA50(30.33) 이탈 또는 Stop 30.45,"20D high 근접, MACD 완만개선, RSI 59",,현재 Vol 0.31x,,,,,-0.23,0.77,,,3,False
